ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source,Segment_Slice
Umutina-128_hopliasgenus-1-1,Umutina-128_hopliasgenus-1,hekapo,71,false,expert,,h e k a p o,SCA,,1
Bororo-128_hopliasgenus-1-1,Bororo-128_hopliasgenus-1,ɾɛkʌ,71,false,expert,,ɾ ɛ k - - ʌ,SCA,,1
Umutina-189_pumpkin-1-1,Umutina-189_pumpkin-1,piɾipiɾi biɾiti,321,false,expert,,p i ɾ i p i ɾ i,SCA,,1
Umutina-189_pumpkin-1-2,Umutina-189_pumpkin-1,piɾipiɾi biɾiti,322,false,expert,,b i ɾ i t i,SCA,,2
Bororo-189_pumpkin-1-1,Bororo-189_pumpkin-1,riboareu,439,false,expert,,r i b oa r eu,SCA,,1
Umutina-262_yam-1-1,Umutina-262_yam-1,tapatuku,323,false,expert,,t a p a t u k u,SCA,,1
Bororo-262_yam-1-1,Bororo-262_yam-1,pogodawu,437,false,expert,,p o g o d a w u,SCA,,1
Bororo-262_yam-2-1,Bororo-262_yam-2,tadari,438,false,expert,,t a d a ɾ i,SCA,,1
Umutina-147_liana-1-1,Umutina-147_liana-1,u,324,false,expert,,- - - u,SCA,,1
Bororo-147_liana-1-1,Bororo-147_liana-1,kyro,324,false,expert,,k ɯ ɾ o,SCA,,1
Umutina-244_treetrunk-1-1,Umutina-244_treetrunk-1,ʃipaɾi,325,false,expert,,ʃ i p a ɾ i,SCA,,1
Bororo-244_treetrunk-1-1,Bororo-244_treetrunk-1,ikʷɔbɔ,326,false,expert,,i kʷ ɔ b ɔ,SCA,,1
Umutina-37_breast-1-1,Umutina-37_breast-1,monukwa,435,false,expert,,m o n u kʷ a,SCA,,1
Bororo-37_breast-1-1,Bororo-37_breast-1,mokuro,436,false,expert,,m o k u r o,SCA,,1
Otuke-239_tobacco-1-1,Otuke-239_tobacco-1,caha,329,false,expert,,tʃ a h a,SCA,,1
Bororo-239_tobacco-1-1,Bororo-239_tobacco-1,mea,434,false,expert,,m ea,SCA,,1
Umutina-272_thunder-1-1,Umutina-272_thunder-1,vetororova,332,false,expert,,v e t o r o r o v a,SCA,,1
Otuke-273_want-1-1,Otuke-273_want-1,viasike,333,false,expert,,v ia s i k e,SCA,,1
Bororo-273_want-1-1,Bororo-273_want-1,aidu,428,false,expert,,ai d u,SCA,,1
Otuke-31_blueandyellowmacaw-1-1,Otuke-31_blueandyellowmacaw-1,karusane,337,false,expert,,k a r u s a n e,SCA,,1
Umutina-31_blueandyellowmacaw-1-1,Umutina-31_blueandyellowmacaw-1,alapore,430,false,expert,,a l a p o ɾ ɛ,SCA,,1
Bororo-31_blueandyellowmacaw-1-1,Bororo-31_blueandyellowmacaw-1,kuido,431,false,expert,,k ui d o,SCA,,1
Otuke-27_bellybutton-1-1,Otuke-27_bellybutton-1,cenapo,342,false,expert,,tʃ e n a p o,SCA,,1
Bororo-27_bellybutton-1-1,Bororo-27_bellybutton-1,kunabo,342,false,expert,,k u n a b o,SCA,,1
Umutina-27_bellybutton-1-1,Umutina-27_bellybutton-1,upopono,429,false,expert,,u p o p o n o,SCA,,1
Otuke-226_straw-1-1,Otuke-226_straw-1,oro,347,false,expert,,o r o,SCA,,1
Bororo-226_straw-1-1,Bororo-226_straw-1,ba,432,false,expert,,b a,SCA,,1
Otuke-212_sloth-1-1,Otuke-212_sloth-1,opohema,349,false,expert,,o p o h e m a,SCA,,1
Otuke-228_sweetpotato-1-1,Otuke-228_sweetpotato-1,huaravu,350,false,expert,,h ua r a v u,SCA,,1
Umutina-228_sweetpotato-1-1,Umutina-228_sweetpotato-1,balakupu,427,false,expert,,b a l a k u p u,SCA,,1
Otuke-208_skin-1-1,Otuke-208_skin-1,rivi,351,false,expert,,r i v i,SCA,,1
Bororo-208_skin-1-1,Bororo-208_skin-1,bure,359,false,expert,,- b u r e,SCA,,1
Umutina-208_skin-1-1,Umutina-208_skin-1,birika,359,false,expert,,- b i r i,SCA,,1
Umutina-208_skin-1-2,Umutina-208_skin-1,birika,426,false,expert,,k a,SCA,,2
Otuke-90_father-1-1,Otuke-90_father-1,ioxa,353,false,expert,,j o ʃ a,SCA,,1
Kuruminaka-90_father-1-1,Kuruminaka-90_father-1,coko,354,false,expert,,tʃ o k o,SCA,,1
Umutina-90_father-1-1,Umutina-90_father-1,yuko,354,false,expert,,ʒ u k ɔ,SCA,,1
Bororo-90_father-1-1,Bororo-90_father-1,o,354,false,expert,,- - - o,SCA,,1
Otuke-65_cry-1-1,Otuke-65_cry-1,ohoateta,355,false,expert,,o h oa t e t a,SCA,,1
Bororo-65_cry-1-1,Bororo-65_cry-1,aragydy,403,false,expert,,a r a g ɯ d ɨ,SCA,,1
Umutina-65_cry-1-1,Umutina-65_cry-1,tua,404,false,expert,,t ua,SCA,,1
Otuke-92_feather-1-1,Otuke-92_feather-1,navo,357,false,expert,,n a v o,SCA,,1
Bororo-92_feather-1-1,Bororo-92_feather-1,ikodo,402,false,expert,,i k o d o,SCA,,1
Umutina-92_feather-1-1,Umutina-92_feather-1,ibotoka,358,false,expert,,i b o t o k a,SCA,,1
Otuke-261_wrist-1-1,Otuke-261_wrist-1,yuna ra,400,false,expert,,j u n a,SCA,,1
