ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Morphemes,SimpleCognate,PartialCognates
Umutina-104_foot-2,,Umutina,104_foot,bure / ambure,ambure,a m/b u r e,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,FOOT,33,10
Bororo-106_forest-1,,Bororo,106_forest,itura,itura,i t u r a,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,WOOD,94,2
Otuke-106_forest-1,,Otuke,106_forest,itura,itura,i t u r a,,de1912linguistique;monfort1913linguistique,,,,,WOOD,94,2
Umutina-106_forest-1,,Umutina,106_forest,iʃula,iʃula,i ʃ u l a,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,WOOD,94,2
Otuke-106_forest-2,,Otuke,106_forest,itura,itura,i t u r a,,de1912linguistique;monfort1913linguistique,,,,,WOOD,94,2
Bororo-107_fox-1,,Bororo,107_fox,okʷa,okʷa,o kʷ a,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,FOX,54,124
Otuke-107_fox-1,,Otuke,107_fox,oka,oka,o k a,,de1912linguistique;monfort1913linguistique,,,,,FOX,54,124
Umutina-107_fox-1,,Umutina,107_fox,akakonoʔ,akakonoʔ,a k a k o n o ʔ,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,FOX,232,124
Bororo-108_frog-1,,Bororo,108_frog,ru,ru,r u,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,FROG,165,13
Otuke-108_frog-1,,Otuke,108_frog,hʷaraka,hʷaraka,hʷ a r a k a,,de1912linguistique;monfort1913linguistique,,,,,FROG,237,125
Umutina-108_frog-1,,Umutina,108_frog,balaru / du / ru,balaru,b a l a r u,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,FROG,165,13
Umutina-108_frog-2,,Umutina,108_frog,balaru / du / ru,du,d u,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,FROG,165,13
